Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,M00A,156.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
2,M00B,160.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
3,M01A,156.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
4,M01B,160.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
5,M02A,156.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
6,M02B,160.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
7,M03A,156.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
8,M03B,160.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
9,M04A,156.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
10,M04B,160.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
11,M05A,156.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
12,M05B,160.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
13,M06A,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
14,M06B,160.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
15,M07A,156.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
16,M07B,160.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
17,M08A,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
18,M08B,161.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
19,M09A,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
20,M09B,161.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
21,M10A,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
22,M10B,161.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
23,M11A,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
24,M11B,161.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
25,M12A,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
26,M12B,161.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
27,M13A,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
28,M13B,161.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
29,M14A,156.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
30,M14B,161.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
31,M15A,156.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
32,M15B,161.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
33,M16A,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
34,M16B,161.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
35,M17A,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
36,M17B,161.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
37,M18A,156.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
38,M18B,161.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
39,M19A,156.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
