Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE3MPC,147.150000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
2,UVE3MPC,444.400000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,6.25,S,,,,,
3,VE3TWO,147.300000,+,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
4,UVE3TWO,444.200000,+,5.000000,TSQL,100.0,100.0,023,NN,FM,6.25,S,,,,,
5,VE3ORF,146.850000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,,
6,UVE3ORF,444.550000,+,5.000000,TSQL,151.4,151.4,023,NN,FM,6.25,S,,,,,
7,VE2RAO,146.745000,-,0.600000,TSQL,118.8,118.8,023,NN,FM,5.00,S,,,,,
8,UVE2RAO,443.950000,+,5.000000,TSQL,118.8,118.8,023,NN,FM,6.25,S,,,,,
9,VE3TST,146.700000,-,0.600000,TSQL,136.5,136.5,023,NN,FM,5.00,S,,,,,
10,VE3TEL,147.030000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,S,,,,,
11,VA3LCC,146.790000,-,0.600000,TSQL,156.7,156.7,023,NN,FM,5.00,S,,,,,
